Round/Game,Winner,Loser,Crash,Timeout,Map,Duration,W Score,L Score,(W-L)/Max,W 55,W 1000,W 10000,L 55,L 1000,L 10000,Win Addr,Lose Addr,Start,Finish,Round/Game,,Bot,Games,Win,Loss,Win %,AvgTime,Hour,Crash,Timeout
5 / 01070,Aiur,CruzBot,FALSE,FALSE,Andromeda,00:09:56,27770,12416,0.55288,0,0,0,0,0,0,/192.168.0.41,/192.168.0.33,20160925_114341,20160925_114544,6 / 01070,,,,,,,,,,
5 / 01073,Aiur,Skynet,FALSE,FALSE,Andromeda,00:08:32,25269,7056,0.72074,0,0,0,0,0,0,/192.168.0.33,/192.168.0.42,20160925_114638,20160925_114830,6 / 01073,,,,,,,,,,
5 / 01074,Aiur,Xelnaga,FALSE,FALSE,Andromeda,00:12:06,47689,19213,0.59711,0,0,0,0,0,0,/192.168.0.22,/192.168.0.41,20160925_114722,20160925_114927,6 / 01074,,,,,,,,,,
5 / 01076,Aiur,IceBot,FALSE,FALSE,Andromeda,00:13:41,43231,21509,0.50245,0,0,0,1,0,0,/192.168.0.34,/192.168.0.44,20160925_114842,20160925_115106,6 / 01076,,,,,,,,,,
5 / 01079,Aiur,Oritaka,FALSE,FALSE,Andromeda,00:07:17,11418,4046,0.64559,0,0,0,0,0,0,/192.168.0.43,/192.168.0.23,20160925_115041,20160925_115225,6 / 01079,,,,,,,,,,
5 / 01080,Aiur,SRbotOne,FALSE,FALSE,Andromeda,00:15:02,50239,27366,0.45527,0,0,0,2,0,0,/192.168.0.22,/192.168.0.31,20160925_115121,20160925_115345,6 / 01080,,,,,,,,,,
5 / 01081,Aiur,TerranUAB,FALSE,FALSE,Andromeda,00:22:37,82784,33103,0.60012,0,0,0,0,0,0,/192.168.0.33,/192.168.0.41,20160925_115157,20160925_115615,6 / 01081,,,,,,,,,,
5 / 01082,Aiur,Tyr,FALSE,FALSE,Andromeda,00:06:10,9555,450,0.9528,0,0,0,0,0,0,/192.168.0.34,/192.168.0.11,20160925_115237,20160925_115348,6 / 01082,,,,,,,,,,
5 / 01083,Aiur,Cimex,Cimex,FALSE,Andromeda,00:09:18,24484,12900,0.47311,0,0,0,0,0,0,/192.168.0.32,/192.168.0.44,20160925_115319,20160925_115617,6 / 01083,,,,,,,,,,
5 / 01085,Aiur,JiaBot,FALSE,FALSE,Andromeda,00:19:27,83015,41517,0.49988,0,0,0,18,0,0,/192.168.0.12,/192.168.0.23,20160925_115445,20160925_115759,6 / 01085,,,,,,,,,,
5 / 01086,Aiur,Overkill,FALSE,FALSE,Andromeda,00:20:06,97122,68491,0.29479,0,0,0,0,0,0,/192.168.0.22,/192.168.0.42,20160925_115528,20160925_115952,6 / 01086,,,,,,,,,,
6 / 01280,Aiur,CruzBot,FALSE,FALSE,CircuitBreaker,00:13:18,49407,22486,0.54487,0,0,0,1,0,0,/192.168.0.33,/192.168.0.41,20160925_143749,20160925_144030,7 / 01280,,,,,,,,,,
6 / 01282,Aiur,NUSBot,FALSE,NUSBot,CircuitBreaker,00:13:58,36382,30278,0.16777,0,0,0,321,0,0,/192.168.0.12,/192.168.0.44,20160925_143915,20160925_144555,7 / 01282,,,,,,,,,,
6 / 01283,Aiur,Skynet,FALSE,FALSE,CircuitBreaker,00:09:36,29409,7722,0.7374,0,0,0,1,0,0,/192.168.0.11,/192.168.0.34,20160925_143957,20160925_144201,7 / 01283,,,,,,,,,,
6 / 01284,Aiur,Xelnaga,FALSE,FALSE,CircuitBreaker,00:15:39,57833,29947,0.48217,0,0,0,0,0,0,/192.168.0.22,/192.168.0.43,20160925_144041,20160925_144304,7 / 01284,,,,,,,,,,
6 / 01285,Aiur,Ximp,FALSE,Ximp,CircuitBreaker,00:17:16,48651,95386,-0.48995,0,0,0,120,10,0,/192.168.0.31,/192.168.0.41,20160925_144124,20160925_144534,7 / 01285,,,,,,,,,,
6 / 01286,Aiur,IceBot,FALSE,FALSE,CircuitBreaker,00:14:11,55032,28394,0.48404,0,0,0,3,0,0,/192.168.0.33,/192.168.0.34,20160925_144216,20160925_144459,7 / 01286,,,,,,,,,,
6 / 01289,Aiur,Oritaka,FALSE,FALSE,CircuitBreaker,00:25:48,137742,79524,0.42266,0,0,0,0,0,0,/192.168.0.22,/192.168.0.32,20160925_144420,20160925_145210,7 / 01289,,,,,,,,,,
6 / 01290,Aiur,SRbotOne,FALSE,FALSE,CircuitBreaker,00:11:27,40727,17118,0.57967,0,0,0,7,0,0,/192.168.0.42,/192.168.0.34,20160925_144517,20160925_144741,7 / 01290,,,,,,,,,,
6 / 01292,Aiur,Tyr,FALSE,FALSE,CircuitBreaker,00:12:43,19571,450,0.97696,0,0,0,0,0,0,/192.168.0.31,/192.168.0.11,20160925_144639,20160925_144830,7 / 01292,,,,,,,,,,
6 / 01293,Aiur,Cimex,FALSE,FALSE,CircuitBreaker,00:16:20,73901,56446,0.23619,0,0,0,0,0,0,/192.168.0.13,/192.168.0.44,20160925_144719,20160925_145032,7 / 01293,,,,,,,,,,
6 / 01294,Aiur,GarmBot,FALSE,FALSE,CircuitBreaker,00:14:21,61350,23321,0.61986,0,0,0,0,0,0,/192.168.0.12,/192.168.0.23,20160925_144801,20160925_145148,7 / 01294,,,,,,,,,,
6 / 01295,Aiur,JiaBot,FALSE,FALSE,CircuitBreaker,00:15:31,29229,9074,0.68953,0,0,0,4,0,0,/192.168.0.43,/192.168.0.42,20160925_144846,20160925_145115,7 / 01295,,,,,,,,,,
